copper,gold,silver,item_id,timestamp,id,user_id
11,0,3,17,2023-10-25 15:59:00.935480,1,1
5,0,3,16,2023-10-25 15:59:00.951422,2,1
35,0,3,19,2023-10-25 15:59:00.965676,3,1
84,0,11,20,2023-10-25 15:59:00.973871,4,1
18,0,3,21,2023-10-25 15:59:00.981566,5,1
57,0,4,23,2023-10-25 15:59:00.989686,6,1
16,0,3,24,2023-10-25 15:59:00.997097,7,1
12,0,10,25,2023-10-25 15:59:01.004574,8,1
95,0,3,26,2023-10-25 15:59:01.010781,9,1
16,0,3,27,2023-10-25 15:59:01.018080,10,1
48,0,8,28,2023-10-25 15:59:01.024319,11,1
73,0,11,29,2023-10-25 15:59:01.031569,12,1
27,0,14,30,2023-10-25 15:59:01.038115,13,1
21,0,3,31,2023-10-25 15:59:01.051274,14,1
20,0,5,32,2023-10-25 15:59:01.061347,15,1
23,0,53,33,2023-10-25 15:59:01.069320,16,1
12,0,53,34,2023-10-25 15:59:01.077415,17,1
91,0,62,35,2023-10-25 15:59:01.085408,18,1
56,0,16,36,2023-10-25 15:59:01.093779,19,1
85,0,2,37,2023-10-25 15:59:01.101943,20,1
2,0,4,38,2023-10-25 15:59:01.109943,21,1
2,0,3,39,2023-10-25 15:59:01.118090,22,1
85,0,3,40,2023-10-25 15:59:01.125792,23,1
33,0,8,41,2023-10-25 15:59:01.132486,24,1
99,0,4,42,2023-10-25 15:59:01.139792,25,1
1,0,4,43,2023-10-25 15:59:01.148822,26,1
78,0,3,44,2023-10-25 15:59:01.156210,27,1
37,0,29,45,2023-10-25 15:59:01.162729,28,1
57,0,2,46,2023-10-25 15:59:01.170389,29,1
25,0,5,47,2023-10-25 15:59:01.179102,30,1
36,0,4,48,2023-10-25 15:59:01.186660,31,1
9,0,2,49,2023-10-25 15:59:01.193191,32,1
2,0,10,50,2023-10-25 15:59:01.200514,33,1
73,0,33,51,2023-10-25 15:59:01.207904,34,1
50,0,15,52,2023-10-25 15:59:01.216649,35,1
18,0,20,53,2023-10-25 15:59:01.223925,36,1
52,0,12,54,2023-10-25 15:59:01.230425,37,1
0,1,0,55,2023-10-25 15:59:01.238024,38,1
72,16,45,56,2023-10-25 15:59:01.246979,39,1
46,16,65,57,2023-10-25 15:59:01.254355,40,1
54,16,56,58,2023-10-25 15:59:01.260710,41,1
77,0,37,59,2023-10-25 15:59:01.267720,42,1
29,0,26,60,2023-10-25 15:59:01.276660,43,1
9,0,22,61,2023-10-25 15:59:01.284017,44,1
28,0,56,62,2023-10-25 15:59:01.290759,45,1
90,0,10,22,2023-10-25 15:59:01.297848,46,1
53,0,17,67,2023-10-25 15:59:01.304747,47,1
10,0,6,63,2023-10-25 15:59:01.311574,48,1
24,0,15,64,2023-10-25 15:59:01.318848,49,1
92,0,59,65,2023-10-25 15:59:01.325286,50,1
32,0,3,66,2023-10-25 15:59:01.332525,51,1
